source_kind,category,code,label_en,label_ru,description_en,description_ru,occurrence_count,confidence,review_reason
embedded_tooltip,field-info,hanaf,hanafuda,ханафуда,hanafuda,Ханафуда.,187,high,
embedded_tooltip,field-info,horse,horse racing,скачки,horse racing,Конные скачки.,66,high,
embedded_tooltip,field-info,internet,internet,интернет,Internet,Интернет.,355,high,
embedded_tooltip,field-info,jpmyth,Japanese myth.,яп. миф.,Japanese mythology,Японская мифология.,84,high,
embedded_tooltip,field-info,kabuki,kabuki,кабуки,kabuki,Кабуки.,74,high,
embedded_tooltip,field-info,law,law,право,law,Право.,1002,high,
embedded_tooltip,field-info,ling,linguistics,лингв.,linguistics,Лингвистика.,670,high,
embedded_tooltip,field-info,logic,logic,логика,logic,Логика.,75,high,
embedded_tooltip,field-info,mahj,mahjong,маджонг,mahjong,Маджонг.,466,high,
embedded_tooltip,field-info,manga,manga,манга,manga,Манга.,3,high,
embedded_tooltip,field-info,math,math,математика,mathematics,Математика.,1443,high,
embedded_tooltip,field-info,mech,mech. eng.,машиностр.,mechanical engineering,Машиностроение.,15,high,
embedded_tooltip,field-info,med,medical,медицина,medicine,Медицина.,3189,high,
embedded_tooltip,field-info,met,meteorology,метеорол.,meteorology,Метеорология.,71,high,
embedded_tooltip,field-info,mil,military,воен.,military,Военное дело.,318,high,
embedded_tooltip,field-info,min,mineralogy,минерал.,mineralogy,Минералогия.,255,high,
embedded_tooltip,field-info,mining,mining,горное дело,mining,Горное дело.,14,high,
embedded_tooltip,field-info,motor,motorsport,автоспорт,motorsport,Автоспорт.,14,high,
embedded_tooltip,field-info,music,music,музыка,music,Музыка.,1069,high,
embedded_tooltip,field-info,noh,noh,но,noh,Театр но.,55,high,
embedded_tooltip,field-info,ornith,ornithology,орнитол.,ornithology,Орнитология.,18,high,
embedded_tooltip,field-info,paleo,paleontology,палеонтол.,paleontology,Палеонтология,1,high,
embedded_tooltip,field-info,pathol,pathology,патология,pathology,Патология,5,high,
embedded_tooltip,field-info,pharm,pharmacology,фармакол.,pharmacology,Фармакология,115,high,
embedded_tooltip,field-info,phil,philosophy,филос.,philosophy,Философия,208,high,
embedded_tooltip,field-info,photo,photography,фотогр.,photography,Фотография,134,high,
embedded_tooltip,field-info,physics,physics,физика,physics,Физика,963,high,
embedded_tooltip,field-info,physiol,physiology,физиол.,physiology,Физиология,126,high,
embedded_tooltip,field-info,politics,politics,полит.,politics,Политика,32,high,
embedded_tooltip,field-info,print,printing,полигр.,printing,Полиграфия,241,high,
embedded_tooltip,field-info,prowres,wrestling,рестл.,professional wrestling,Профессиональная борьба,69,high,
embedded_tooltip,field-info,psy,psychiatry,псих.,psychiatry,Психиатрия,130,high,
embedded_tooltip,field-info,psyanal,psychoanalysis,психоан.,psychoanalysis,Психоанализ,12,high,
embedded_tooltip,field-info,psych,psychology,психолог.,psychology,Психология,97,high,
embedded_tooltip,field-info,rail,railway,железн. дор.,railway,Железнодорожное дело,43,high,
embedded_tooltip,field-info,rommyth,Roman myth.,рим. миф.,Roman mythology,Римская мифология,57,high,
embedded_tooltip,field-info,shogi,shōgi,сёги,shogi,Сёги,183,high,
embedded_tooltip,field-info,ski,skiing,лыжи,skiing,Лыжный спорт,59,high,
embedded_tooltip,field-info,sports,sports,спорт,sports,Спорт,1233,high,
embedded_tooltip,field-info,stat,statistics,стат.,statistics,Статистика,41,high,
embedded_tooltip,field-info,stockm,stock market,фонд. рынок,stock market,Фондовый рынок,67,high,
embedded_tooltip,field-info,sumo,sumō,сумо,sumo,Сумо,752,high,
embedded_tooltip,field-info,surg,surgery,хирургия,surgery,Хирургия,14,high,
embedded_tooltip,field-info,telec,telecom,телеком.,telecommunications,Телекоммуникации,133,high,
embedded_tooltip,field-info,tradem,trademark,тов. знак,trademark,Товарный знак,212,high,
embedded_tooltip,field-info,tv,television,ТВ,television,Телевидение,38,high,
embedded_tooltip,field-info,vet,veterinary medicine,вет.,veterinary terms,Ветеринарная терминология,13,high,
embedded_tooltip,field-info,vidg,video games,видеоигры,video games,Видеоигры,332,high,
embedded_tooltip,field-info,zool,zoology,зоол.,zoology,Зоология,124,high,
embedded_tooltip,forms-label,,forms,формы,spelling and reading variants,Варианты написания и чтения,145980,high,
embedded_tooltip,lang-source-wasei,,wasei,яп. заимств.,Loanwords coined in Japan,"Заимствованные слова, созданные в Японии",4105,high,
embedded_tooltip,misc-info,abbr,abbr.,аббр.,abbreviation,Аббревиатура,5828,high,
embedded_tooltip,misc-info,arch,archaic,архаич.,archaic,Архаичное слово или выражение,5837,high,
embedded_tooltip,misc-info,chn,childish,детск.,children's language,Детская речь,301,high,
embedded_tooltip,misc-info,col,colloquial,разг.,colloquial,Разговорное слово или выражение,3818,high,
embedded_tooltip,misc-info,dated,dated,устаревающ.,dated term,Устаревающее слово или выражение,862,medium,"Термин может обозначать как устаревающее, так и устаревшее слово."
embedded_tooltip,misc-info,derog,derogatory,уничиж.,derogatory,Уничижительное слово или выражение,868,high,
embedded_tooltip,misc-info,euph,euphemism,эвфем.,euphemistic,Эвфемистическое слово или выражение,129,high,
embedded_tooltip,misc-info,fam,familiar,фам.,familiar language,Фамильярная речь,311,high,
embedded_tooltip,misc-info,fem,feminine,жен. речь,female term or language,Женское слово или выражение,179,high,
embedded_tooltip,misc-info,form,formal,книжн.,formal or literary term,Книжное или официальное слово или выражение,918,high,
embedded_tooltip,misc-info,hist,historical,истор.,historical term,Историческое слово или выражение,3708,high,
embedded_tooltip,misc-info,hon,honorific,почтит.,honorific or respectful (sonkeigo) language,Почтительная или уважительная речь (сонкэйго),1048,high,
embedded_tooltip,misc-info,hum,humble,скромн.,humble (kenjougo) language,Скромная речь (кэндзёго),399,high,
embedded_tooltip,misc-info,id,idiom,идиома,idiomatic expression,Идиоматическое выражение,2280,high,
embedded_tooltip,misc-info,joc,jocular,шутл.,"jocular, humorous term",Шутливое или юмористическое слово или выражение,343,high,
embedded_tooltip,misc-info,leg,legend,легенда,legend,Легенда,18,high,
embedded_tooltip,misc-info,m-sl,manga slang,манг. сленг,manga slang,Сленг манги,72,high,
embedded_tooltip,misc-info,male,masculine,муж. речь,male term or language,Мужское слово или выражение,129,high,
embedded_tooltip,misc-info,net-sl,net slang,интернет-сленг,Internet slang,Интернет-сленг,543,high,
embedded_tooltip,misc-info,obs,obsolete,устар.,obsolete term,"Устаревшее слово или выражение, вышедшее из употребления",964,high,
embedded_tooltip,misc-info,on-mim,mimetic,звукоподр.,onomatopoeic or mimetic word,Звукоподражательное или изобразительное слово,3482,high,
embedded_tooltip,misc-info,person,person,имя,full name of a particular person,Полное имя конкретного человека,22,high,
embedded_tooltip,misc-info,place,place,топоним,place name,Название места,2,high,
embedded_tooltip,misc-info,poet,poetical,поэт.,poetical term,Поэтическое слово или выражение,321,high,
embedded_tooltip,misc-info,pol,polite,вежл.,polite (teineigo) language,Вежливая речь (тэйнэйго),624,high,
embedded_tooltip,misc-info,proverb,proverb,посл.,proverb,Пословица,1360,high,
embedded_tooltip,misc-info,quote,quote,цит.,quotation,Цитата,36,high,
embedded_tooltip,misc-info,rare,rare,редк.,rare term,Редкое слово или выражение,4154,high,
embedded_tooltip,misc-info,relig,religion,религия,religion,Религия,4,high,
embedded_tooltip,misc-info,sens,sensitive,чувствит.,sensitive,Чувствительное содержание,308,high,
embedded_tooltip,misc-info,sl,slang,сленг,slang,Сленг,2071,high,
embedded_tooltip,misc-info,uk,kana,только кана,word usually written using kana alone,"Слово, обычно записываемое только каной",23577,high,
embedded_tooltip,misc-info,vulg,vulgar,груб.,vulgar expression or word,Грубое слово или выражение,361,high,
embedded_tooltip,misc-info,work,work,произв.,"work of art, literature, music, etc. name","Название произведения искусства, литературы, музыки и тому подобного",3,high,
embedded_tooltip,misc-info,yoji,yoji,ёдзидзюкуго,yojijukugo,Ёдзидзюкуго,2468,high,
embedded_tooltip,part-of-speech-info,adj-f,adjectival,атрибутивн.,noun or verb acting prenominally,Существительное или глагол в функции определения перед существительным,1755,high,
embedded_tooltip,part-of-speech-info,adj-i,adjective,прил.,adjective (keiyoushi),Прилагательное (кэйёси),3573,high,
embedded_tooltip,part-of-speech-info,adj-ix,adjective,прил.,adjective (keiyoushi) - yoi/ii class,"Прилагательное (кэйёси), класс «よい／いい»",518,high,
embedded_tooltip,part-of-speech-info,adj-ku,ku-adj,く прил.,'ku' adjective (archaic),Архаичное прилагательное класса «ку»,50,high,
embedded_tooltip,part-of-speech-info,adj-na,na-adj,な прил. ,adjectival nouns or quasi-adjectives (keiyodoshi),Прилагательное-существительное или квази-прилагательное (кэйёдоси),8019,high,
embedded_tooltip,part-of-speech-info,adj-nari,nari,なり прил.,archaic/formal form of na-adjective,Архаичная или формальная форма прилагательного на «нари»,39,high,
embedded_tooltip,part-of-speech-info,adj-no,no-adj,сущ. на の,nouns which may take the genitive case particle 'no',"Существительные, способные принимать родительную частицу «の»",11024,high,
embedded_tooltip,part-of-speech-info,adj-pn,adjectival,рэнтайси,pre-noun adjectival (rentaishi),Предименное определительное слово (рэнтайси),292,high,
embedded_tooltip,part-of-speech-info,adj-shiku,shiku,шику-прил.,'shiku' adjective (archaic),Архаичное прилагательное класса «шику»,17,high,
embedded_tooltip,part-of-speech-info,adj-t,taru,тару-прил.,'taru' adjective,Прилагательное класса «тару»,1106,high,
embedded_tooltip,part-of-speech-info,adv,adverb,нар.,adverb (fukushi),Наречие (фукуси),7837,high,
embedded_tooltip,part-of-speech-info,adv-to,to-adverb,нар. на と,adverb taking the 'to' particle,"Наречие, принимающее частицу «と»",3723,high,
embedded_tooltip,part-of-speech-info,aux,auxiliary,вспом.,auxiliary,Вспомогательное слово,70,high,
embedded_tooltip,part-of-speech-info,aux-adj,aux-adj,вспом. прил.,auxiliary adjective,Вспомогательное прилагательное,16,high,
embedded_tooltip,part-of-speech-info,aux-v,aux-verb,вспом. гл.,auxiliary verb,Вспомогательный глагол,238,high,
embedded_tooltip,part-of-speech-info,conj,conjunction,союз,conjunction,Союз,463,high,
embedded_tooltip,part-of-speech-info,cop,copula,связка,copula,Связка,23,high,
embedded_tooltip,part-of-speech-info,ctr,counter,счётн. сл.,counter,Счётное слово,441,high,
embedded_tooltip,part-of-speech-info,exp,exp,выражение,"expressions (phrases, clauses, etc.)","Выражение, фраза, придаточное предложение и тому подобное",20403,high,
embedded_tooltip,part-of-speech-info,int,interjection,межд.,interjection (kandoushi),Междометие (кандоси),1561,high,
embedded_tooltip,part-of-speech-info,n,noun,сущ.,noun (common) (futsuumeishi),Нарицательное существительное (фуцумэйси),257130,high,
embedded_tooltip,part-of-speech-info,n-pref,prefix,сущ.-преф.,"noun, used as a prefix","Существительное, употребляемое в качестве префикса",317,high,
embedded_tooltip,part-of-speech-info,n-suf,suffix,сущ.-суф.,"noun, used as a suffix","Существительное, употребляемое в качестве суффикса",1086,high,
embedded_tooltip,part-of-speech-info,num,numeric,числ.,numeric,Числительное,479,high,
embedded_tooltip,part-of-speech-info,pn,pronoun,мест.,pronoun,Местоимение,701,high,
embedded_tooltip,part-of-speech-info,pref,prefix,преф.,prefix,Префикс,487,high,
embedded_tooltip,part-of-speech-info,prt,particle,частица,particle,Частица,256,high,
embedded_tooltip,part-of-speech-info,suf,suffix,суф.,suffix,Суффикс,787,high,
embedded_tooltip,part-of-speech-info,unc,unclass,неклассиф.,unclassified,Неклассифицированная единица,33,high,
embedded_tooltip,part-of-speech-info,v-unspec,verb,гл.,verb unspecified,Глагол без уточнения типа,3,high,
embedded_tooltip,part-of-speech-info,v1,1-dan,гл. итидан,Ichidan verb,Глагол итидан,6663,high,
embedded_tooltip,part-of-speech-info,v1-s,1-dan (spec.),гл. итидан спец.,Ichidan verb - kureru special class,Глагол итидан — особый класс くれる,11,high,
embedded_tooltip,part-of-speech-info,v2a-s,2-dan,гл. нидан,Nidan verb with 'u' ending (archaic),Архаичный глагол нидан с окончанием на «う»,5,high,
embedded_tooltip,part-of-speech-info,v2b-k,2-dan,гл. нидан,Nidan verb (upper class) with 'bu' ending (archaic),Архаичный глагол нидан верхнего ряда с окончанием на «ぶ»,3,high,
embedded_tooltip,part-of-speech-info,v2d-s,2-dan,гл. нидан,Nidan verb (lower class) with 'dzu' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «づ»,3,high,
embedded_tooltip,part-of-speech-info,v2g-k,2-dan,гл. нидан,Nidan verb (upper class) with 'gu' ending (archaic),Архаичный глагол нидан верхнего ряда с окончанием на «ぐ»,1,high,
embedded_tooltip,part-of-speech-info,v2g-s,2-dan,гл. нидан,Nidan verb (lower class) with 'gu' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «ぐ»,2,high,
embedded_tooltip,part-of-speech-info,v2h-k,2-dan,гл. нидан,Nidan verb (upper class) with 'hu/fu' ending (archaic),Архаичный глагол нидан верхнего ряда с окончанием на «ふ»,7,high,
embedded_tooltip,part-of-speech-info,v2h-s,2-dan,гл. нидан,Nidan verb (lower class) with 'hu/fu' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «ふ»,29,high,
embedded_tooltip,part-of-speech-info,v2k-k,2-dan,гл. нидан,Nidan verb (upper class) with 'ku' ending (archaic),Архаичный глагол нидан верхнего ряда с окончанием на «く»,2,high,
embedded_tooltip,part-of-speech-info,v2k-s,2-dan,гл. нидан,Nidan verb (lower class) with 'ku' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «く»,14,high,
embedded_tooltip,part-of-speech-info,v2m-s,2-dan,гл. нидан,Nidan verb (lower class) with 'mu' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «む»,20,high,
embedded_tooltip,part-of-speech-info,v2n-s,2-dan,гл. нидан,Nidan verb (lower class) with 'nu' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «ぬ»,4,high,
embedded_tooltip,part-of-speech-info,v2r-k,2-dan,гл. нидан,Nidan verb (upper class) with 'ru' ending (archaic),Архаичный глагол нидан верхнего ряда с окончанием на «る»,6,high,
embedded_tooltip,part-of-speech-info,v2r-s,2-dan,гл. нидан,Nidan verb (lower class) with 'ru' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «る»,27,high,
embedded_tooltip,part-of-speech-info,v2s-s,2-dan,гл. нидан,Nidan verb (lower class) with 'su' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «す»,6,high,
embedded_tooltip,part-of-speech-info,v2t-k,2-dan,гл. нидан,Nidan verb (upper class) with 'tsu' ending (archaic),Архаичный глагол нидан верхнего ряда с окончанием на «つ»,6,high,
embedded_tooltip,part-of-speech-info,v2t-s,2-dan,гл. нидан,Nidan verb (lower class) with 'tsu' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «つ»,6,high,
embedded_tooltip,part-of-speech-info,v2w-s,2-dan,гл. нидан,Nidan verb (lower class) with 'u' ending and 'we' conjugation (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «う» и чередованием с «ゑ»,1,high,
embedded_tooltip,part-of-speech-info,v2y-k,2-dan,гл. нидан,Nidan verb (upper class) with 'yu' ending (archaic),Архаичный глагол нидан верхнего ряда с окончанием на «ゆ»,5,high,
embedded_tooltip,part-of-speech-info,v2y-s,2-dan,гл. нидан,Nidan verb (lower class) with 'yu' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «ゆ»,10,high,
embedded_tooltip,part-of-speech-info,v2z-s,2-dan,гл. нидан,Nidan verb (lower class) with 'zu' ending (archaic),Архаичный глагол нидан нижнего ряда с окончанием на «ず»,3,high,
embedded_tooltip,part-of-speech-info,v4b,4-dan,гл. ёдан,Yodan verb with 'bu' ending (archaic),Архаичный глагол ёдан с окончанием на «ぶ»,4,high,
embedded_tooltip,part-of-speech-info,v4g,4-dan,гл. ёдан,Yodan verb with 'gu' ending (archaic),Архаичный глагол ёдан с окончанием на «ぐ»,2,high,
embedded_tooltip,part-of-speech-info,v4h,4-dan,гл. ёдан,Yodan verb with 'hu/fu' ending (archaic),Архаичный глагол ёдан с окончанием на «ふ»,30,high,
embedded_tooltip,part-of-speech-info,v4k,4-dan,гл. ёдан,Yodan verb with 'ku' ending (archaic),Архаичный глагол ёдан с окончанием на «く»,32,high,
embedded_tooltip,part-of-speech-info,v4m,4-dan,гл. ёдан,Yodan verb with 'mu' ending (archaic),Архаичный глагол ёдан с окончанием на «む»,3,high,
embedded_tooltip,part-of-speech-info,v4r,4-dan,гл. ёдан,Yodan verb with 'ru' ending (archaic),Архаичный глагол ёдан с окончанием на «る»,42,high,
embedded_tooltip,part-of-speech-info,v4s,4-dan,гл. ёдан,Yodan verb with 'su' ending (archaic),Архаичный глагол ёдан с окончанием на «す»,25,high,
embedded_tooltip,part-of-speech-info,v4t,4-dan,гл. ёдан,Yodan verb with 'tsu' ending (archaic),Архаичный глагол ёдан с окончанием на «つ»,11,high,
embedded_tooltip,part-of-speech-info,v5aru,5-dan (spec.),гл. годан спец.,Godan verb - -aru special class,Глагол годан особого класса с окончанием на «ある»,12,medium,"Окончание «ある» может описывать специальный класс, а не стандартное окончание японского глагола."
embedded_tooltip,part-of-speech-info,v5b,5-dan,гл. годан,Godan verb with 'bu' ending,Глагол годан с окончанием на «ぶ»,192,high,
embedded_tooltip,part-of-speech-info,v5g,5-dan,гл. годан,Godan verb with 'gu' ending,Глагол годан с окончанием на «ぐ»,287,high,
embedded_tooltip,part-of-speech-info,v5k,5-dan,гл. годан,Godan verb with 'ku' ending,Глагол годан с окончанием на «く»,1964,high,
embedded_tooltip,part-of-speech-info,v5k-s,5-dan (spec.),гл. годан спец.,Godan verb - Iku/Yuku special class,Глагол годан особого класса 行く／ゆく,136,high,
embedded_tooltip,part-of-speech-info,v5m,5-dan,гл. годан,Godan verb with 'mu' ending,Глагол годан с окончанием на «む»,1246,high,
embedded_tooltip,part-of-speech-info,v5n,5-dan,гл. годан,Godan verb with 'nu' ending,Глагол годан с окончанием на «ぬ»,18,high,
embedded_tooltip,part-of-speech-info,v5r,5-dan,гл. годан,Godan verb with 'ru' ending,Глагол годан с окончанием на «る»,4663,high,
embedded_tooltip,part-of-speech-info,v5r-i,5-dan (irreg.),гл. годан нерег.,Godan verb with 'ru' ending (irregular verb),Глагол годан с окончанием на «る» (неправильный глагол),107,high,
embedded_tooltip,part-of-speech-info,v5s,5-dan,гл. годан,Godan verb with 'su' ending,Глагол годан с окончанием на «す»,3428,high,
embedded_tooltip,part-of-speech-info,v5t,5-dan,гл. годан,Godan verb with 'tsu' ending,Глагол годан с окончанием на «つ»,504,high,
embedded_tooltip,part-of-speech-info,v5u,5-dan,гл. годан,Godan verb with 'u' ending,Глагол годан с окончанием на «う»,1453,high,
embedded_tooltip,part-of-speech-info,v5u-s,5-dan (spec.),гл. годан спец.,Godan verb with 'u' ending (special class),Глагол годан с окончанием на «う» (особый класс),24,high,
embedded_tooltip,part-of-speech-info,vi,intransitive,гл. неперех.,intransitive verb,Непереходный глагол,12989,high,
embedded_tooltip,part-of-speech-info,vk,kuru,гл. くる,Kuru verb - special class,Глагол くる — особый класс,73,high,
embedded_tooltip,part-of-speech-info,vn,nu-verb,гл. на ぬ,irregular nu verb,Неправильный глагол на ぬ,3,high,
embedded_tooltip,part-of-speech-info,vr,ri-verb,гл. на り,"irregular ru verb, plain form ends with -ri","Неправильный глагол на る, у которого словарная форма оканчивается на り",24,high,
embedded_tooltip,part-of-speech-info,vs,suru,гл. する,noun or participle which takes the aux. verb suru,"Существительное или причастие, сочетающееся со вспомогательным глаголом する",19492,high,
embedded_tooltip,part-of-speech-info,vs-c,su-verb,гл. す,su verb - precursor to the modern suru,Глагол на す — предшественник современного する,58,high,
embedded_tooltip,part-of-speech-info,vs-i,suru,гл. する,suru verb - included,Глагол する — включаемый класс,370,medium,Значение английского «included» в классификации неоднозначно без дополнительного контекста.
embedded_tooltip,part-of-speech-info,vs-s,suru,гл. する,suru verb - special class,Глагол する — особый класс,366,high,
embedded_tooltip,part-of-speech-info,vt,transitive,гл. перех.,transitive verb,Переходный глагол,14337,high,
embedded_tooltip,part-of-speech-info,vz,zuru,гл. ずる,Ichidan verb - zuru verb (alternative form of -jiru verbs),Глагол итидан ずる — альтернативная форма глаголов на じる,119,high,
tag_bank,archaism,irregular form,irregular form,нерег. форма,irregular spelling or reading of this term,Неправильное написание или чтение данного термина,1,high,
tag_bank,archaism,obsolete reading,obsolete reading,устар. чтение,archaic or obsolete reading of this term,Архаичное или устаревшее чтение данного термина,1,high,
tag_bank,archaism,old kanji form,old kanji form,стар. кандзи,old character form (kyūjitai),Старая форма иероглифа (кюдзитай),1,high,
tag_bank,archaism,rarely used form,rarely used form,редк. форма,rarely used form of this term,Редко употребляемая форма данного термина,1,high,
tag_bank,expression,ateji form,ateji form,атэдзи,ateji (phonetic) reading,Атэдзи — фонетическое чтение,1,high,
tag_bank,expression,special reading,special reading,особ. чтение,jukujikun (idiomatic reading of a kanji compound) or gikun (idiosyncratic reading of a particular kanji),Дзюкудзикун — идиоматическое чтение сочетания иероглифов — или гикун — индивидуальное чтение отдельного иероглифа,1,high,
tag_bank,frequent,priority form,priority form,приор. форма,high priority spelling or reading of this term,Написание или чтение этого термина с высоким приоритетом,1,high,
tag_bank,popular,★,★,★,high priority entry,Запись с высоким приоритетом,1,high,
